# equilibrium mole fractions of Asenic containing species
# PG(pa), T(K), AsH3, AsH2
1.00000000e+05 1.34800000e+02 2.87315383e-18 4.64300423e-58
1.40020199e+05 1.50000000e+02 8.81072914e-17 1.56303675e-52
2.27632966e+05 1.75000000e+02 6.55490788e-15 1.55571901e-45
3.48193597e+05 2.00000000e+02 1.62638303e-13 2.72914124e-40
5.09412209e+05 2.25000000e+02 1.95026329e-12 3.23964291e-36
7.19661962e+05 2.50000000e+02 1.39375857e-11 5.76809052e-33
9.87402788e+05 2.75000000e+02 6.46020179e-11 2.43772179e-30
1.32095343e+06 3.00000000e+02 1.64632909e-10 2.66256792e-28
1.72889920e+06 3.25000000e+02 1.88004985e-10 7.28607281e-27
2.22011806e+06 3.50000000e+02 1.88419876e-10 1.10755631e-25
2.80366816e+06 3.75000000e+02 1.88428150e-10 1.16479276e-24
3.48881601e+06 4.00000000e+02 1.88428424e-10 9.09463575e-24
4.28510930e+06 4.25000000e+02 1.88428437e-10 5.55587429e-23
5.20239107e+06 4.50000000e+02 1.88428438e-10 2.76614798e-22
6.25076635e+06 4.75000000e+02 1.88428438e-10 1.15922450e-21
7.44061713e+06 5.00000000e+02 1.88428438e-10 4.19618039e-21
8.78261791e+06 5.25000000e+02 1.88428438e-10 1.33977743e-20
1.02877460e+07 5.50000000e+02 1.88428438e-10 3.83842727e-20
1.19672831e+07 5.75000000e+02 1.88428438e-10 1.00086331e-19
1.38328387e+07 6.00000000e+02 1.88428438e-10 2.40342447e-19
1.58963787e+07 6.25000000e+02 1.88428375e-10 5.36836068e-19
1.81702442e+07 6.50000000e+02 1.88428463e-10 1.12469275e-18
2.06671656e+07 6.75000000e+02 1.88428461e-10 2.22598047e-18
2.34002904e+07 7.00000000e+02 1.88428459e-10 4.18758671e-18
2.63832131e+07 7.25000000e+02 1.88428392e-10 7.52753433e-18
2.96299984e+07 7.50000000e+02 1.88428469e-10 1.29889421e-17
3.31551996e+07 7.75000000e+02 1.88428460e-10 2.16000435e-17
3.69738882e+07 8.00000000e+02 1.88428221e-10 3.47381227e-17
4.11016841e+07 8.25000000e+02 1.88428285e-10 5.41948192e-17
4.55547758e+07 8.50000000e+02 1.88428335e-10 8.22391984e-17
5.03499361e+07 8.75000000e+02 1.88428403e-10 1.21676311e-16
5.55045473e+07 9.00000000e+02 1.88428052e-10 1.75897164e-16
6.10366268e+07 9.25000000e+02 1.88428066e-10 2.48919835e-16
6.69648417e+07 9.50000000e+02 1.88428089e-10 3.45414568e-16
7.33085183e+07 9.75000000e+02 1.88427664e-10 4.70715845e-16
8.00876596e+07 1.00000000e+03 1.88427599e-10 6.30822313e-16
8.73229623e+07 1.02500000e+03 1.88427518e-10 8.32372297e-16
9.50358301e+07 1.05000000e+03 1.88427380e-10 1.08261381e-15
1.03248384e+08 1.07500000e+03 1.88426732e-10 1.38935115e-15
1.11983474e+08 1.10000000e+03 1.88426425e-10 1.76089339e-15
1.21264690e+08 1.12500000e+03 1.88426061e-10 2.20596299e-15
1.31116379e+08 1.15000000e+03 1.88425131e-10 2.73361300e-15
1.41563661e+08 1.17500000e+03 1.88424503e-10 3.35315645e-15
1.52632441e+08 1.20000000e+03 1.88423316e-10 4.07402322e-15
1.64349419e+08 1.22500000e+03 1.88422394e-10 4.90571215e-15
1.76742093e+08 1.25000000e+03 1.88421264e-10 5.85763045e-15
1.89838769e+08 1.27500000e+03 1.88419492e-10 6.93900604e-15
2.03668560e+08 1.30000000e+03 1.88417683e-10 8.15882569e-15
2.18261390e+08 1.32500000e+03 1.88415560e-10 9.52567297e-15
2.33648028e+08 1.35000000e+03 1.88412937e-10 1.10476590e-14
2.49860122e+08 1.37500000e+03 1.88410410e-10 1.27323818e-14
2.66930220e+08 1.40000000e+03 1.88406976e-10 1.45866962e-14
2.84891774e+08 1.42500000e+03 1.88403172e-10 1.66168361e-14
3.03779132e+08 1.45000000e+03 1.88399095e-10 1.88282322e-14
3.23627506e+08 1.47500000e+03 1.88394217e-10 2.12254125e-14
3.44472971e+08 1.50000000e+03 1.88388855e-10 2.38120988e-14
3.66352454e+08 1.52500000e+03 1.88382856e-10 2.65910398e-14
3.89303786e+08 1.55000000e+03 1.88376167e-10 2.95640357e-14
4.13365764e+08 1.57500000e+03 1.88368739e-10 3.27319041e-14
4.38578163e+08 1.60000000e+03 1.88360525e-10 3.60944659e-14
4.64981752e+08 1.62500000e+03 1.88351481e-10 3.96505381e-14
4.92618290e+08 1.65000000e+03 1.88341562e-10 4.33979361e-14
5.21530519e+08 1.67500000e+03 1.88330728e-10 4.73334827e-14
5.51762162e+08 1.70000000e+03 1.88318941e-10 5.14530239e-14
5.83357933e+08 1.72500000e+03 1.88306164e-10 5.57514502e-14
6.16363542e+08 1.75000000e+03 1.88292367e-10 6.02227238e-14
6.50825705e+08 1.77500000e+03 1.88277524e-10 6.48599105e-14
6.86792149e+08 1.80000000e+03 1.88261612e-10 6.96552163e-14
7.24311613e+08 1.82500000e+03 1.88244614e-10 7.46000283e-14
7.63433897e+08 1.85000000e+03 1.88226520e-10 7.96849566e-14
8.04209922e+08 1.87500000e+03 1.88207322e-10 8.48998784e-14
8.46691750e+08 1.90000000e+03 1.88187022e-10 9.02339870e-14
8.90932605e+08 1.92500000e+03 1.88165627e-10 9.56758425e-14
9.36986840e+08 1.95000000e+03 1.88143150e-10 1.01213427e-13
9.84909895e+08 1.97500000e+03 1.88119610e-10 1.06834205e-13
1.03475829e+09 2.00000000e+03 1.88095033e-10 1.12525175e-13
