# equilibrium mole fractions of Asenic containing species
# PG(pa), T(K), AsH3, AsH2
1.00000000e+05 1.34800000e+02 5.66447744e-18 9.08701199e-58
1.40020199e+05 1.50000000e+02 1.73705201e-16 3.05908266e-52
2.27632966e+05 1.75000000e+02 1.29232219e-14 3.04478350e-45
3.48193597e+05 2.00000000e+02 3.20703872e-13 5.34230195e-40
5.09412209e+05 2.25000000e+02 3.85356991e-12 6.35459954e-36
7.19661962e+05 2.50000000e+02 2.79358836e-11 1.14769893e-32
9.87402788e+05 2.75000000e+02 1.39527253e-10 5.22658659e-30
1.32095343e+06 3.00000000e+02 5.15315262e-10 8.27328712e-28
1.72889920e+06 3.25000000e+02 1.40334357e-09 5.39894868e-26
2.22011806e+06 3.50000000e+02 2.40070669e-09 1.40087453e-24
2.80366816e+06 3.75000000e+02 2.59784502e-09 1.59417930e-23
3.48881601e+06 4.00000000e+02 2.60687800e-09 1.24905238e-22
4.28510930e+06 4.25000000e+02 2.60733566e-09 7.63174745e-22
5.20239107e+06 4.50000000e+02 2.60736790e-09 3.79972642e-21
6.25076635e+06 4.75000000e+02 2.60737103e-09 1.59237367e-20
7.44061713e+06 5.00000000e+02 2.60737121e-09 5.76410146e-20
8.78261791e+06 5.25000000e+02 2.60737137e-09 1.84039122e-19
1.02877460e+07 5.50000000e+02 2.60737131e-09 5.27267255e-19
1.19672831e+07 5.75000000e+02 2.60737142e-09 1.37484035e-18
1.38328387e+07 6.00000000e+02 2.60737126e-09 3.30147456e-18
1.58963787e+07 6.25000000e+02 2.60737134e-09 7.37427487e-18
1.81702442e+07 6.50000000e+02 2.60737113e-09 1.54493884e-17
2.06671656e+07 6.75000000e+02 2.60737121e-09 3.05772737e-17
2.34002904e+07 7.00000000e+02 2.60737122e-09 5.75229604e-17
2.63832131e+07 7.25000000e+02 2.60737128e-09 1.03402331e-16
2.96299984e+07 7.50000000e+02 2.60737090e-09 1.78423118e-16
3.31551996e+07 7.75000000e+02 2.60737082e-09 2.96709845e-16
3.69738882e+07 8.00000000e+02 2.60737067e-09 4.77182187e-16
4.11016841e+07 8.25000000e+02 2.60737055e-09 7.44449909e-16
4.55547758e+07 8.50000000e+02 2.60736989e-09 1.12968237e-15
5.03499361e+07 8.75000000e+02 2.60736944e-09 1.67141113e-15
5.55045473e+07 9.00000000e+02 2.60736857e-09 2.41622155e-15
6.10366268e+07 9.25000000e+02 2.60736778e-09 3.41930039e-15
6.69648417e+07 9.50000000e+02 2.60736625e-09 4.74480201e-15
7.33085183e+07 9.75000000e+02 2.60736426e-09 6.46601801e-15
8.00876596e+07 1.00000000e+03 2.60736198e-09 8.66532609e-15
8.73229623e+07 1.02500000e+03 2.60735907e-09 1.14339209e-14
9.50358301e+07 1.05000000e+03 2.60735527e-09 1.48713643e-14
1.03248384e+08 1.07500000e+03 2.60735042e-09 1.90849032e-14
1.11983474e+08 1.10000000e+03 2.60734446e-09 2.41885990e-14
1.21264690e+08 1.12500000e+03 2.60733712e-09 3.03022927e-14
1.31116379e+08 1.15000000e+03 2.60732820e-09 3.75504337e-14
1.41563661e+08 1.17500000e+03 2.60731781e-09 4.60607982e-14
1.52632441e+08 1.20000000e+03 2.60730493e-09 5.59630960e-14
1.64349419e+08 1.22500000e+03 2.60728944e-09 6.73875766e-14
1.76742093e+08 1.25000000e+03 2.60727162e-09 8.04635859e-14
1.89838769e+08 1.27500000e+03 2.60725015e-09 9.53180581e-14
2.03668560e+08 1.30000000e+03 2.60722512e-09 1.12074182e-13
2.18261390e+08 1.32500000e+03 2.60719604e-09 1.30849973e-13
2.33648028e+08 1.35000000e+03 2.60716231e-09 1.51756975e-13
2.49860122e+08 1.37500000e+03 2.60712374e-09 1.74899050e-13
2.66930220e+08 1.40000000e+03 2.60707896e-09 2.00371151e-13
2.84891774e+08 1.42500000e+03 2.60702827e-09 2.28258477e-13
3.03779132e+08 1.45000000e+03 2.60697095e-09 2.58635405e-13
3.23627506e+08 1.47500000e+03 2.60690566e-09 2.91564697e-13
3.44472971e+08 1.50000000e+03 2.60683243e-09 3.27097056e-13
3.66352454e+08 1.52500000e+03 2.60675037e-09 3.65270364e-13
3.89303786e+08 1.55000000e+03 2.60665887e-09 4.06109372e-13
4.13365764e+08 1.57500000e+03 2.60655728e-09 4.49625324e-13
4.38578163e+08 1.60000000e+03 2.60644496e-09 4.95815770e-13
4.64981752e+08 1.62500000e+03 2.60632130e-09 5.44664474e-13
4.92618290e+08 1.65000000e+03 2.60618569e-09 5.96141442e-13
5.21530519e+08 1.67500000e+03 2.60603759e-09 6.50203046e-13
5.51762162e+08 1.70000000e+03 2.60587646e-09 7.06792242e-13
5.83357933e+08 1.72500000e+03 2.60570184e-09 7.65838863e-13
6.16363542e+08 1.75000000e+03 2.60551329e-09 8.27259991e-13
6.50825705e+08 1.77500000e+03 2.60531045e-09 8.90960392e-13
6.86792149e+08 1.80000000e+03 2.60509302e-09 9.56833029e-13
7.24311613e+08 1.82500000e+03 2.60486078e-09 1.02475961e-12
7.63433897e+08 1.85000000e+03 2.60461357e-09 1.09461117e-12
8.04209922e+08 1.87500000e+03 2.60435131e-09 1.16624869e-12
8.46691750e+08 1.90000000e+03 2.60407401e-09 1.23952374e-12
8.90932605e+08 1.92500000e+03 2.60378176e-09 1.31427919e-12
9.36986840e+08 1.95000000e+03 2.60347474e-09 1.39035000e-12
9.84909895e+08 1.97500000e+03 2.60315323e-09 1.46756396e-12
1.03475829e+09 2.00000000e+03 2.60281757e-09 1.54574251e-12
