Saturn 
(T,P) and mole fractions

(300, 13.21)

 GeF2            2.425-17
 HBr             5.923-10
 HCL             7.552-15
 *HF             1.8207-9
 *H2             8.5372-1
 H2F2            1.501-17
 H2O             8.3586-4
 H2S             2.2565-5
 *He             1.4530-1
 NH3             1.1496-4
 *N2             2.730-16
 GeO2(II)        7.6327-9
 H3PO4(cr)       4.3933-7
 NH4CL(II)       5.4019-7
 NH4F(cr)        6.0233-8

(400, 34.89)
GeBr2           1.624-20
 GeCL2           5.280-17
 GeF2            2.555-11
 GeH4            3.535-16
 GeS             7.333-16
 HBr             5.923-10
 HCL             4.5121-8
 *HF             6.2002-8
 *H2             8.5372-1
 H2F2            4.460-15
 H2O             8.3586-4
 H2S             2.2565-5
 *He             1.4530-1
 NH3             1.1506-4
 *N2             4.796-13
 PH3             1.205-15
 POF3            2.554-20
 GeO2(II)        7.6072-9
 H3PO4(L)        4.3933-7
 NH4CL(II)       4.9507-7

(500,74.41)
 GeBr2           3.428-19
 GeCL            7.019-20
 GeCL2           1.781-13
 GeCL4           7.463-19
 GeF2            4.888-11
 GeH4            1.417-12
 GeO             7.002-20
 GeS             3.288-12
 HBr             5.923-10
 HCL             5.4019-7
 *HF             6.1956-8
 *H2             8.5372-1
 H2F2            2.382-15
 H2O             8.3599-4
 H2S             2.2565-5
 *He             1.4530-1
 NH3             1.1556-4
 *N2             3.836-11
 PF3             4.060-18
 PH2             1.595-17
 PH3             2.6877-8
 POF3            5.789-18
 SH              2.492-20
 Ge(cr)          7.5790-9
 H3PO4(L)        4.1245-7

(600,138.33)

 GeBr2           5.627-19
 GeCL            3.324-17
 GeCL2           3.135-13
 GeF2            1.602-11
 GeH4            7.913-11
 GeO             1.391-16
 GeS             1.714-10
 *H              3.633-18
 HBr             5.923-10
 HCL             5.4019-7
 *HF             6.2021-8
 *H2             8.5372-1
 H2F2            1.797-15
 H2O             8.3764-4
 H2S             2.2565-5
 *He             1.4530-1
 NH3             1.1556-4
 *N2             6.440-10
 PF3             2.742-19
 PH2             2.015-14
 PH3             4.3933-7
 POF3            5.125-20
 P2              8.346-19
 SH              1.379-17
 Ge(cr)          7.3659-9


(700,234.00)


 *Br             6.779-20
 GeBr            3.197-19
 GeBr2           8.055-19
 GeCL            2.601-15
 GeCL2           4.719-13
 GeF             2.692-19
 GeF2            7.215-12
 GeH4            1.4596-9
 GeO             2.918-14
 GeS             2.6660-9
 GeS2            1.940-19
 *H              1.528-15
 HBr             5.923-10
 HCL             5.4019-7
 *HF             6.2039-8
 HPO             2.276-20
 *H2             8.5372-1
 H2F2            1.621-15
 H2O             8.3764-4
 H2S             2.2562-5
 *He             1.4530-1
 NH2             1.129-19
 NH3             1.1555-4
 *N2             4.4330-9
 PH              7.383-20
 PH2             4.363-13
 PH3             4.3933-7
 PN              2.226-20
 PS              1.827-19
 P2              1.810-17
 SH              1.229-15
 S2              1.486-20
 Ge(cr)          3.4994-9

(800,369.74)

 *Br             1.374-18
